,R_PCE,R_DPI,SR,HUS,IPI_M,CUR_M,ISM_M,MIC_I,MIC_E,T_PCEIX,C_PCEIX,C_CPI,C_CPI_INF,NFE,UR,MB,M2,R_EFCR,SP500,SPR_1TNFF,SPR_5TNFF,SPR_10TNFF
1980-01,4267.292621,4920.821,9.9,1341,48.363,82.96,-3.8,10.4,67,10.5,8.24,76.6,11.98830409,90800,6.3,155995,1482.7,92.5494533,114.16,-1.76,-3.08,-3.02
1980-02,4233.42522,4894.4,10.1,1350,48.271,82.61,0.2,10,66.9,11.1,8.97,77.3,12.02898551,90883,6.3,153896,1494.6,93.11335209,113.66,-0.21,-1.53,-1.72
1980-03,4199.826607,4863.703,10.2,1047,47.917,81.82,-6.4,10.2,56.5,11.59,9.35,78.3,12.5,90994,6.3,155032,1499.8,95.76681875,102.09,-1.37,-3.72,-4.44
1980-04,4145.929523,4858.439,11.3,1051,46.881,79.87,-12.6,10.1,52.7,11.02,8.9,79.3,12.96296296,90849,6.9,157858,1502.2,96.3693336,106.29,-4.31,-5.77,-6.14
1980-05,4125.303008,4840.608,11.4,927,45.424,77.2,-20.6,8.6,51.7,10.74,8.84,80.2,13.27683616,90420,7.5,157915,1512.3,93.29871362,111.24,-1.59,-1.03,-0.8
1980-06,4146.033174,4851.164,11.2,1196,44.71,75.8,-19.7,8.5,58.7,10.53,8.95,81.1,13.58543417,90101,7.6,158922,1529.2,91.76706662,114.24,-1.31,-0.26,0.31
1980-07,4183.686351,4893.881,11.3,1269,44.179,74.72,-15,9.6,62.3,10.54,9.17,80.9,12.36111111,89840,7.8,159940,1545.5,90.91084775,121.67,-0.38,0.5,1.22
1980-08,4187.874225,4899.173,11.3,1436,44.531,75.11,-4.5,7.6,67.3,10.62,9.23,81.3,11.82943604,90099,7.7,158388,1561.5,91.56539527,122.38,0.63,1.23,1.49
1980-09,4187.874225,4920.365,11.7,1471,45.28,76.17,0.1,9.1,73.7,10.66,9.51,82.2,11.98910082,90213,7.5,159391,1574,90.86710064,125.46,0.65,0.75,0.64
1980-10,4238.739094,4959.231,11.3,1523,46.137,77.4,5.5,9.6,75,10.65,9.61,83.2,12.28070175,90490,7.5,160925,1584.8,91.14752646,127.47,-0.32,-0.95,-1.06
1980-11,4226.060911,4966.823,11.6,1510,47.008,78.63,8.2,8.6,76.7,10.78,9.77,84.1,12.13333333,90747,7.5,162049,1595.8,92.69132766,140.52,-1.7,-3.02,-3.17
1980-12,4255.851875,4990.033,11.4,1482,47.125,78.59,3,9.7,64.5,10.57,9.65,84.9,12.15323646,90943,7.2,163376,1599.8,93.49748854,135.76,-4.02,-5.65,-6.06
1981-01,4255.851875,4970.676,10.9,1547,46.979,78.11,-0.8,9.5,71.4,10.47,9.76,85.3,11.35770235,91033,7.5,161080,1606.9,93.02981464,129.55,-5,-6.31,-6.51
1981-02,4243.122507,4955.312,10.8,1246,46.723,77.45,-1.2,8.6,66.9,10.39,9.47,85.7,10.86675291,91105,7.4,158982,1618.7,95.35693849,131.27,-1.36,-2.52,-2.74
1981-03,4255.890178,4969.348,10.8,1306,46.878,77.47,-0.4,7.2,66.5,9.82,9.07,86.1,9.961685824,91210,7.4,159765,1636.6,95.38537782,136,-0.99,-1.29,-1.58
1981-04,4238.93444,4955.432,10.9,1360,47.121,77.64,1.6,8,72.4,9.72,9.21,86.8,9.457755359,91283,7.2,162371,1659.2,96.81307177,132.81,-1.4,-1.73,-2.04
1981-05,4238.93444,4965.071,11,1140,47.343,77.77,3.5,7.3,76.3,9.36,9.08,87.8,9.476309227,91296,7.5,163200,1664.2,99.11295101,132.59,-2.32,-3.89,-4.42
1981-06,4268.816153,4992.182,10.8,1045,47.089,77.13,0.7,7.1,73.1,9.11,8.9,88.7,9.371146732,91490,7.5,163929,1670.3,101.0576101,131.21,-4.24,-5.15,-5.63
1981-07,4260.295562,5070.936,12.3,1041,47.199,77.09,-3.3,6.8,74.1,8.93,8.79,89.9,11.12484549,91601,7.2,166041,1681.9,103.1131881,130.92,-3.32,-4.25,-4.76
1981-08,4286.011632,5085.994,12,940,47.231,76.93,-1.7,5.8,77.2,8.7,8.74,90.7,11.56211562,91565,7.4,166116,1694.3,104.520134,122.79,-1.1,-2.26,-2.88
1981-09,4256.218105,5077.295,12.4,911,46.995,76.35,-7.5,6.9,73.1,8.35,8.43,91.9,11.80048662,91477,7.6,164686,1706,102.7836323,116.18,0.65,0.06,-0.55
1981-10,4235.04289,5083.868,13,873,46.565,75.46,-10,6.7,70.3,7.98,8.18,92.3,10.9375,91380,7.9,164972,1721.8,101.9104556,121.89,0.3,0.33,0.07
1981-11,4226.589711,5086.947,13.2,837,45.96,74.3,-13.9,7.3,62.5,7.68,7.96,92.7,10.22592152,91171,8.3,167230,1736.1,100.1628408,126.35,-0.9,0.07,0.08
1981-12,4252.102325,5080.282,12.5,910,45.148,72.82,-12.2,5.3,64.3,7.32,7.72,93,9.540636042,90895,8.5,170681,1755.5,99.88074751,122.55,0.48,1.23,1.35
1982-01,4243.615095,5086.945,12.7,843,44.058,70.9,-11.8,5.1,71,6.93,7.45,93.2,9.261430246,90565,8.6,169811,1770.4,100.9545173,120.4,1.1,1.43,1.37
1982-02,4282.154485,5100.875,12.1,866,45.288,72.73,-11.7,5.2,66.5,6.18,7.08,93.5,9.101516919,90563,8.9,167490,1774.5,103.9405476,113.11,-0.05,-0.24,-0.35
1982-03,4277.876609,5100.072,12.2,931,44.892,71.95,-13.2,4.2,62,5.71,6.95,93.7,8.826945412,90434,9,166219,1786.5,106.7345472,111.96,-0.73,-0.7,-0.82
1982-04,4282.158767,5150.523,12.9,917,44.594,71.34,-12.2,4.7,65.5,5.31,6.69,94.5,8.870967742,90150,9.3,168703,1803.9,107.3030999,116.44,-0.96,-0.94,-1.07
1982-05,4295.043899,5128.979,12.3,1025,44.505,71.07,-14.5,3.5,67.5,5.46,6.54,95.4,8.656036446,90107,9.4,170045,1815.4,105.9678252,111.88,-1.11,-0.7,-0.83
1982-06,4273.675521,5100.781,12.3,902,44.426,70.83,-11.7,4.6,65.7,5.8,6.55,96.3,8.568207441,89865,9.6,171679,1826,110.1838356,109.61,-0.08,0.28,0.15
1982-07,4299.472355,5146.935,12.5,1166,44.384,70.66,-11.6,5,65.4,5.79,6.59,96.7,7.563959956,89521,9.8,173381,1831.5,111.7046749,107.09,0.65,1.48,1.36
1982-08,4303.776132,5154.683,12.6,1046,43.972,69.91,-11.7,4.8,65.4,5.46,6.37,97.1,7.056229327,89363,9.8,173975,1845.2,113.985757,119.51,1.31,2.88,2.94
1982-09,4342.861889,5152.352,11.8,1144,43.858,69.64,-11.2,4.5,69.3,5.11,6.07,97.3,5.875952122,89183,10.1,173383,1858.4,114.4683696,120.42,0.54,1.94,2.03
1982-10,4360.303101,5146.283,11.3,1173,43.332,68.73,-10.6,4.7,73.4,5.23,6.11,97.7,5.850487541,88907,10.4,174957,1869.7,114.025699,133.72,-0.39,1.09,1.2
1982-11,4395.466836,5166.053,10.9,1372,43.028,68.18,-10.8,4.5,72.1,4.98,5.88,97.6,5.285868393,88786,10.8,177469,1883.7,113.3851192,138.53,-0.04,1.18,1.35
1982-12,4413.119313,5190.093,10.9,1303,42.878,67.88,-7.2,3.7,71.9,4.81,5.83,97.2,4.516129032,88771,10.8,180717,1905.9,110.1958568,140.64,-0.04,1.27,1.59
1983-01,4417.53685,5207.039,11.1,1586,43.935,69.5,-4,2.8,70.4,4.68,5.9,97.6,4.721030043,88990,10.4,178899,1959.4,109.7312037,145.3,-0.06,1.35,1.78
1983-02,4417.53685,5208.596,11.1,1699,43.91,69.42,4.4,3,74.6,4.55,5.89,97.9,4.705882353,88917,10.4,177044,1996.8,110.7762046,148.06,0.41,1.75,2.21
1983-03,4466.670222,5233.069,10.6,1606,44.323,70.04,3.9,1.8,80.8,4.41,5.56,98.1,4.69583778,89090,10.3,177320,2015.2,111.3738729,152.96,0.27,1.31,1.74
1983-04,4493.632014,5244.165,10.3,1472,44.852,70.84,4.2,3.4,89.1,4.83,5.46,98.6,4.338624339,89364,10.2,180038,2028.6,112.5231976,164.43,0.18,1.22,1.6
1983-05,4520.756554,5254.528,9.9,1776,45.436,71.73,6.1,3.2,93.3,4.51,5.04,98.8,3.5639413,89644,10.1,181386,2043.1,112.4326368,162.39,0.27,1.4,1.75
