Date,FF,3M,6M,1Y,2Y,3Y,5Y,7Y,10Y,20Y,30Y
1980-01,13.82,12,11.84,12.06,11.5,10.88,10.74,10.77,10.8,10.65,10.03
1980-02,14.13,12.86,12.86,13.92,13.42,12.84,12.6,12.53,12.41,12.21,11.55
1980-03,17.19,15.2,15.03,15.82,14.88,14.05,13.47,13,12.75,12.49,11.87
1980-04,17.61,13.2,12.88,13.3,12.5,12.02,11.84,11.49,11.47,11.42,10.83
1980-05,10.98,8.58,8.65,9.39,9.45,9.44,9.95,10.09,10.18,10.44,9.82
1980-06,9.47,7.07,7.3,8.16,8.73,8.91,9.21,9.45,9.78,9.89,9.4
1980-07,9.03,8.06,8.06,8.65,9.03,9.27,9.53,9.84,10.25,10.32,9.83
1980-08,9.61,9.13,9.41,10.24,10.53,10.63,10.84,10.95,11.1,11.07,10.53
1980-09,10.87,10.27,10.57,11.52,11.57,11.57,11.62,11.57,11.51,11.47,10.94
1980-10,12.81,11.62,11.63,12.49,12.09,12.01,11.86,11.79,11.75,11.75,11.2
1980-11,15.85,13.73,13.5,14.15,13.51,13.31,12.83,12.71,12.68,12.44,11.83
1980-12,18.9,15.49,14.64,14.88,14.08,13.65,13.25,13,12.84,12.49,11.89
1981-01,19.08,15.02,14.08,14.08,13.26,13.01,12.77,12.66,12.57,12.29,11.65
1981-02,15.93,14.79,14.05,14.57,13.92,13.65,13.41,13.28,13.19,12.98,12.23
1981-03,14.7,13.36,12.81,13.71,13.57,13.51,13.41,13.24,13.12,12.94,12.15
1981-04,15.72,13.69,13.45,14.32,14.15,14.09,13.99,13.85,13.68,13.46,12.62
1981-05,18.52,16.3,15.29,16.2,15.46,15.08,14.63,14.3,14.1,13.82,12.96
1981-06,19.1,14.73,14.09,14.86,14.51,14.29,13.95,13.67,13.47,13.2,12.39
1981-07,19.04,14.95,14.74,15.72,15.35,15.15,14.79,14.49,14.28,13.92,13.05
1981-08,17.82,15.51,15.52,16.72,16.28,16,15.56,15.22,14.94,14.52,13.61
1981-09,15.87,14.7,14.92,16.52,16.46,16.22,15.93,15.65,15.32,15.07,14.14
1981-10,15.08,13.54,13.82,15.38,15.54,15.5,15.41,15.33,15.15,15.13,14.13
1981-11,13.31,10.86,11.3,12.41,12.88,13.11,13.38,13.42,13.39,13.56,12.68
1981-12,12.37,10.85,11.52,12.85,13.29,13.66,13.6,13.62,13.72,13.73,12.88
1982-01,13.22,12.28,12.83,14.32,14.57,14.64,14.65,14.67,14.59,14.57,13.73
1982-02,14.78,13.48,13.61,14.73,14.82,14.73,14.54,14.46,14.43,14.48,13.63
1982-03,14.68,12.68,12.77,13.95,14.19,14.13,13.98,13.93,13.86,13.75,12.98
1982-04,14.94,12.7,12.8,13.98,14.2,14.18,14,13.94,13.87,13.57,12.84
1982-05,14.45,12.09,12.16,13.34,13.78,13.77,13.75,13.74,13.62,13.46,12.67
1982-06,14.15,12.47,12.7,14.07,14.47,14.48,14.43,14.47,14.3,14.18,13.32
1982-07,12.59,11.35,11.88,13.24,13.8,14,14.07,14.07,13.95,13.76,12.97
