,FF,1Y,5Y,10Y
1980-01,13.82,12.06,10.74,10.8
1980-02,14.13,13.92,12.6,12.41
1980-03,17.19,15.82,13.47,12.75
1980-04,17.61,13.3,11.84,11.47
1980-05,10.98,9.39,9.95,10.18
1980-06,9.47,8.16,9.21,9.78
1980-07,9.03,8.65,9.53,10.25
1980-08,9.61,10.24,10.84,11.1
1980-09,10.87,11.52,11.62,11.51
1980-10,12.81,12.49,11.86,11.75
1980-11,15.85,14.15,12.83,12.68
1980-12,18.9,14.88,13.25,12.84
1981-01,19.08,14.08,12.77,12.57
1981-02,15.93,14.57,13.41,13.19
1981-03,14.7,13.71,13.41,13.12
1981-04,15.72,14.32,13.99,13.68
1981-05,18.52,16.2,14.63,14.1
1981-06,19.1,14.86,13.95,13.47
1981-07,19.04,15.72,14.79,14.28
1981-08,17.82,16.72,15.56,14.94
1981-09,15.87,16.52,15.93,15.32
1981-10,15.08,15.38,15.41,15.15
1981-11,13.31,12.41,13.38,13.39
1981-12,12.37,12.85,13.6,13.72
1982-01,13.22,14.32,14.65,14.59
1982-02,14.78,14.73,14.54,14.43
1982-03,14.68,13.95,13.98,13.86
1982-04,14.94,13.98,14,13.87
1982-05,14.45,13.34,13.75,13.62
1982-06,14.15,14.07,14.43,14.3
1982-07,12.59,13.24,14.07,13.95
1982-08,10.12,11.43,13,13.06
1982-09,10.31,10.85,12.25,12.34
1982-10,9.71,9.32,10.8,10.91
1982-11,9.2,9.16,10.38,10.55
1982-12,8.95,8.91,10.22,10.54
1983-01,8.68,8.62,10.03,10.46
1983-02,8.51,8.92,10.26,10.72
1983-03,8.77,9.04,10.08,10.51
1983-04,8.8,8.98,10.02,10.4
1983-05,8.63,8.9,10.03,10.38
1983-06,8.98,9.66,10.63,10.85
1983-07,9.37,10.2,11.21,11.38
1983-08,9.56,10.53,11.63,11.85
1983-09,9.45,10.16,11.43,11.65
1983-10,9.48,9.81,11.28,11.54
1983-11,9.34,9.94,11.41,11.69
1983-12,9.47,10.11,11.54,11.83
1984-01,9.56,9.9,11.37,11.67
1984-02,9.59,10.04,11.54,11.84
1984-03,9.91,10.59,12.02,12.32
1984-04,10.29,10.9,12.37,12.63
1984-05,10.32,11.66,13.17,13.41
1984-06,11.06,12.08,13.48,13.56
1984-07,11.23,12.03,13.27,13.36
1984-08,11.64,11.82,12.68,12.72
1984-09,11.3,11.58,12.53,12.52
1984-10,9.99,10.9,12.06,12.16
1984-11,9.43,9.82,11.33,11.57
1984-12,8.38,9.33,11.07,11.5
1985-01,8.35,9.02,10.93,11.38
1985-02,8.5,9.29,11.13,11.51
1985-03,8.58,9.86,11.52,11.86
1985-04,8.27,9.14,11.01,11.43
1985-05,7.97,8.46,10.34,10.85
1985-06,7.53,7.8,9.6,10.16
1985-07,7.88,7.86,9.7,10.31
1985-08,7.9,8.05,9.81,10.33
1985-09,7.92,8.07,9.81,10.37
1985-10,7.99,8.01,9.69,10.24
1985-11,8.05,7.88,9.28,9.78
1985-12,8.27,7.67,8.73,9.26
1986-01,8.14,7.73,8.68,9.19
1986-02,7.86,7.61,8.34,8.7
1986-03,7.48,7.03,7.46,7.78
1986-04,6.99,6.44,7.05,7.3
1986-05,6.85,6.65,7.52,7.71
1986-06,6.92,6.73,7.64,7.8
1986-07,6.56,6.27,7.06,7.3
1986-08,6.17,5.93,6.8,7.17
1986-09,5.89,5.77,6.92,7.45
1986-10,5.85,5.72,6.83,7.43
1986-11,6.04,5.8,6.76,7.25
1986-12,6.91,5.87,6.67,7.11
1987-01,6.43,5.78,6.64,7.08
1987-02,6.1,5.96,6.79,7.25
1987-03,6.13,6.03,6.79,7.25
1987-04,6.37,6.5,7.57,8.02
1987-05,6.85,7,8.26,8.61
1987-06,6.73,6.8,8.02,8.4
1987-07,6.58,6.68,8.01,8.45
1987-08,6.73,7.03,8.32,8.76
1987-09,7.22,7.67,8.94,9.42
1987-10,7.29,7.59,9.08,9.52
1987-11,6.69,6.96,8.35,8.86
1987-12,6.77,7.17,8.45,8.99
1988-01,6.83,6.99,8.18,8.67
1988-02,6.58,6.64,7.71,8.21
1988-03,6.58,6.71,7.83,8.37
1988-04,6.87,7.01,8.19,8.72
1988-05,7.09,7.4,8.58,9.09
1988-06,7.51,7.49,8.49,8.92
1988-07,7.75,7.75,8.66,9.06
1988-08,8.01,8.17,8.94,9.26
1988-09,8.19,8.09,8.69,8.98
