Date,FF,1Y,2Y,5Y,10Y,20Y
Jan-80,13.82,12.06,11.5,10.74,10.8,10.65
Feb-80,14.13,13.92,13.42,12.6,12.41,12.21
Mar-80,17.19,15.82,14.88,13.47,12.75,12.49
Apr-80,17.61,13.3,12.5,11.84,11.47,11.42
May-80,10.98,9.39,9.45,9.95,10.18,10.44
Jun-80,9.47,8.16,8.73,9.21,9.78,9.89
Jul-80,9.03,8.65,9.03,9.53,10.25,10.32
Aug-80,9.61,10.24,10.53,10.84,11.1,11.07
Sep-80,10.87,11.52,11.57,11.62,11.51,11.47
Oct-80,12.81,12.49,12.09,11.86,11.75,11.75
Nov-80,15.85,14.15,13.51,12.83,12.68,12.44
Dec-80,18.9,14.88,14.08,13.25,12.84,12.49
Jan-81,19.08,14.08,13.26,12.77,12.57,12.29
Feb-81,15.93,14.57,13.92,13.41,13.19,12.98
Mar-81,14.7,13.71,13.57,13.41,13.12,12.94
Apr-81,15.72,14.32,14.15,13.99,13.68,13.46
May-81,18.52,16.2,15.46,14.63,14.1,13.82
Jun-81,19.1,14.86,14.51,13.95,13.47,13.2
Jul-81,19.04,15.72,15.35,14.79,14.28,13.92
Aug-81,17.82,16.72,16.28,15.56,14.94,14.52
Sep-81,15.87,16.52,16.46,15.93,15.32,15.07
Oct-81,15.08,15.38,15.54,15.41,15.15,15.13
Nov-81,13.31,12.41,12.88,13.38,13.39,13.56
Dec-81,12.37,12.85,13.29,13.6,13.72,13.73
Jan-82,13.22,14.32,14.57,14.65,14.59,14.57
Feb-82,14.78,14.73,14.82,14.54,14.43,14.48
Mar-82,14.68,13.95,14.19,13.98,13.86,13.75
Apr-82,14.94,13.98,14.2,14,13.87,13.57
May-82,14.45,13.34,13.78,13.75,13.62,13.46
Jun-82,14.15,14.07,14.47,14.43,14.3,14.18
Jul-82,12.59,13.24,13.8,14.07,13.95,13.76
Aug-82,10.12,11.43,12.32,13,13.06,12.91
Sep-82,10.31,10.85,11.78,12.25,12.34,12.16
Oct-82,9.71,9.32,10.19,10.8,10.91,10.97
Nov-82,9.2,9.16,9.8,10.38,10.55,10.57
Dec-82,8.95,8.91,9.66,10.22,10.54,10.62
Jan-83,8.68,8.62,9.33,10.03,10.46,10.78
Feb-83,8.51,8.92,9.64,10.26,10.72,11.03
Mar-83,8.77,9.04,9.66,10.08,10.51,10.8
Apr-83,8.8,8.98,9.57,10.02,10.4,10.63
May-83,8.63,8.9,9.49,10.03,10.38,10.67
Jun-83,8.98,9.66,10.18,10.63,10.85,11.12
Jul-83,9.37,10.2,10.69,11.21,11.38,11.59
Aug-83,9.56,10.53,11.07,11.63,11.85,11.96
Sep-83,9.45,10.16,10.79,11.43,11.65,11.82
Oct-83,9.48,9.81,10.57,11.28,11.54,11.77
Nov-83,9.34,9.94,10.66,11.41,11.69,11.92
Dec-83,9.47,10.11,10.84,11.54,11.83,12.02
Jan-84,9.56,9.9,10.64,11.37,11.67,11.82
Feb-84,9.59,10.04,10.79,11.54,11.84,12
Mar-84,9.91,10.59,11.31,12.02,12.32,12.45
Apr-84,10.29,10.9,11.69,12.37,12.63,12.65
May-84,10.32,11.66,12.47,13.17,13.41,13.43
Jun-84,11.06,12.08,12.91,13.48,13.56,13.54
Jul-84,11.23,12.03,12.88,13.27,13.36,13.36
Aug-84,11.64,11.82,12.43,12.68,12.72,12.71
Sep-84,11.3,11.58,12.2,12.53,12.52,12.42
Oct-84,9.99,10.9,11.6,12.06,12.16,12.04
Nov-84,9.43,9.82,10.65,11.33,11.57,11.66
Dec-84,8.38,9.33,10.18,11.07,11.5,11.64
Jan-85,8.35,9.02,9.93,10.93,11.38,11.58
Feb-85,8.5,9.29,10.17,11.13,11.51,11.7
Mar-85,8.58,9.86,10.71,11.52,11.86,12.06
Apr-85,8.27,9.14,10.09,11.01,11.43,11.69
May-85,7.97,8.46,9.39,10.34,10.85,11.19
Jun-85,7.53,7.8,8.69,9.6,10.16,10.57
Jul-85,7.88,7.86,8.77,9.7,10.31,10.68
Aug-85,7.9,8.05,8.94,9.81,10.33,10.73
Sep-85,7.92,8.07,8.98,9.81,10.37,10.8
Oct-85,7.99,8.01,8.86,9.69,10.24,10.67
Nov-85,8.05,7.88,8.58,9.28,9.78,10.24
Dec-85,8.27,7.67,8.15,8.73,9.26,9.75
Jan-86,8.14,7.73,8.14,8.68,9.19,9.59
Feb-86,7.86,7.61,7.97,8.34,8.7,9.08
Mar-86,7.48,7.03,7.21,7.46,7.78,8.09
Apr-86,6.99,6.44,6.7,7.05,7.3,7.5
May-86,6.85,6.65,7.07,7.52,7.71,7.81
Jun-86,6.92,6.73,7.18,7.64,7.8,7.69
Jul-86,6.56,6.27,6.67,7.06,7.3,7.29
Aug-86,6.17,5.93,6.33,6.8,7.17,7.28
Sep-86,5.89,5.77,6.35,6.92,7.45,7.56
Oct-86,5.85,5.72,6.28,6.83,7.43,7.61
Nov-86,6.04,5.8,6.28,6.76,7.25,7.42
Dec-86,6.91,5.87,6.27,6.67,7.11,7.28
Jan-87,6.43,5.78,6.23,6.64,7.08,7.235
Feb-87,6.1,5.96,6.4,6.79,7.25,7.395
Mar-87,6.13,6.03,6.42,6.79,7.25,7.4
Apr-87,6.37,6.5,7.02,7.57,8.02,8.135
May-87,6.85,7,7.76,8.26,8.61,8.695
Jun-87,6.73,6.8,7.57,8.02,8.4,8.485
Jul-87,6.58,6.68,7.44,8.01,8.45,8.545
